text,age,age_cat,gender
"Ho comprato tre chiavette usb a uno dei prezzi migliori in tutta europa. Ho avuto qualche disguido col corriere, e nel giro di 12 ore tramite mail o telefono mi hanno sempre risposto risolvendo il problema molto velocemente e seguendomi il più possibile. Da fidarsi ciecamente!",21,15-24,M
"Ho cercato molti forum, e questo è per me il migliore in assoluto. Rispetto ad altri pecca di un'interfaccia grafica inferiore, più vecchia, ma il numero di utenti iscritti ed attivi e la velocità e pertinenza delle risposte lo rendono il forum di riferimento per l'hardware e i computer. Lo consiglio vivamente. Se potessero migliorare l'interfaccia grafica, sarebbe fantastico!",21,15-24,M
Ci ho comprato due SSD crucial m4 (hard disk per pc) e un fantastico media center della asus in due momenti diversi. Entrambe le volte il tempo di lavorazione è stata mezza giornata ed in meno di 48 ore dalla fine della lavorazione i prodotti sono giunti a casa. Inoltre il sito è molto ben fatto e la navigazione è semplice. In futuro acquisterò tutti i pezzi per un assemblato,21,15-24,M
"Consigliatissimo: acquisto facile, grande disponibilità di scelta, tempi di lavorazione e di spedizione molto veloci. I prezzi poi, rispetto ad una cartoleria normale, sono veramente vantaggiosi.",21,15-24,M
"E' un sito che offre innumerevoli offerte. Ho prenotato alberghi per la Sicilia, la Svezia, la Norvegia, la Danimarca, la Spagna, il Portogallo, l'Olanda e alcune altre destinazioni italiane. Mi sono trovato sempre ottimamente e pur pagando poco, o comunque un prezzo adeguato, posso dire di aver trovato sempre strutture adeguate.",32,25-54,M
Buon sito  lo consiglio,49,25-54,M
Anche io oggi ho ricevuto una mail che dice di attendere 25/30 giorni accusa dei troppi ordini ecc.ecc. !!!!! Che il cielo ci assista !!!,47,25-54,M
"Chiarezza, immediatezza e perfezione, mai avuto un riscontro del genere per un acquisto su internet. Davvero Perfetti grazie mille per tutto",40,25-54,M
"Spedizione ultra veloce, vasta gamma di integratori e non solo!",39,25-54,M
"Affidabilita',velocita' nelle spedizioni,prodotti originali,ma condivido il pensiero di tutti i commenti letti fino ad ora,troppo cari,rispetto a quello che e' il loro prezzo reale!Sono daccordo con chi dice,che magari come clienti abitudinali si potesse ottenere un po' di sconto.",36,25-54,M
"Grande serietà, informazioni complete, molta scelta, buoni prezzi.",48,25-54,M
Mi sono trovato molto bene.. la spedizione è stata davvero immediata.. farò molti acquisti su questo sito,19,15-24,M
è un sito davvero fantastico!,16,15-24,M
"è un sito molto affidabile, è fantastico!!!",15,15-24,M
"Bellissimo sito, molto ben strutturato e con tutte le icone utili immediatamente disponibili sulla facciata principale, è necessario un download per giocare ma è molto veloce e facile da installare. Nessuna difficoltà di accesso e alti bonus di benvenuto, uno dei migliori siti della categoria! Bonus di benvenuto immediato e divertimento assicurato!",38,25-54,M
"è il 3 acquisto che faccio e mi sono sempre trovato bene, veloci nella spedizione ed ho sempre ricevuto quello che ho ordinato..",39,25-54,M
"Ho segnalato un negoziante disonesto, mi hanno contattato chiedendomi prova di acquisto, alla fine hanno cancellato il mio feedback negativo mentre hanno lasciato molti feedback fasulli con 5 stelle inseriti probabilmente dallo stesso venditore disonesto. E neppure mi hanno notificato il fatto, gli acquirenti non contano nulla per loro.",41,25-54,M
"Google offre ottimi servizi, quasi tutti gratuiti. Però c'è da stare attenti, perché Google sta assumendo sempre più la forma del temibile Grande Fratello di George Orwell! Quindi usiamolo pure, ma consapevolmente.",41,25-54,M
"Google offre ottimi servizi, quasi tutti gratuiti. Però c'è da stare attenti, perché Google sta assumendo sempre più la forma del temibile Grande Fratello di George Orwell! Quindi usiamolo pure, ma consapevolmente.",41,25-54,M
"Registrandosi su Facebook vuol dire mettere sulla piazza tutti i propri affari. Dopo che si è registrati si rimane legati a vita perché sarà impossibile rimuovere, senza lasciare traccia, tutte le informazioni personali lasciate. Attenzione ragazzini... quando poi ci si accorge che è troppo tardi la frittata è fatta!",41,25-54,M
"Registrandosi su Facebook vuol dire mettere sulla piazza tutti i propri affari. Dopo che si è registrati si rimane legati a vita perché sarà impossibile rimuovere, senza lasciare traccia, tutte le informazioni personali lasciate. Attenzione ragazzini... quando poi ci si accorge che è troppo tardi la frittata è fatta!",41,25-54,M
"Solo pagando con PayPal si è abbastanza tutelati contro le frodi. Infatti ho pagato con bonifico, e, pur avendo dimostrato di essere caduto nella trappola di un venditore disonesto, si sono limitati a chiedere scusa, a dire che avrei dovuto pagare con PayPal, ma non applicano nessuna limitazione all'account del venditore che continua a fare i suoi affari indisturbato.",41,25-54,M
"Molte informazioni utili su attrazioni, cose da vedere, hotel, meteo e quant'altro c'è da sapere per organizzare un viaggio.",41,25-54,M
"Molte informazioni utili su attrazioni, cose da vedere, hotel, meteo e quant'altro c'è da sapere per organizzare un viaggio.",41,25-54,M
"Ho trovato molta professionalità e gentilezza, hanno saputo indirizzarmi correttamente alla soluzione dei miei problemi.",41,25-54,M
"Ho trovato molta professionalità e gentilezza, non sono intermediari di grossi laboratori esteri, ma eseguono loro stessi il test nel loro laboratorio di Forte dei Marmi.",41,25-54,M
"Ho trovato molta professionalità e gentilezza, non sono intermediari di grossi laboratori esteri, ma eseguono loro stessi il test nel loro laboratorio di Forte dei Marmi.",41,25-54,M
"Ho trovato molta professionalità e gentilezza, hanno saputo indirizzarmi correttamente alla soluzione dei miei problemi.",41,25-54,M
"Si trovano tutte le informazioni che servono per surfare, guida agli spot, previsioni, consigli utili... Molto vasta la gallery con migliaia di immagini e filmati! Imperdibile.",41,25-54,M
"E' da molti anni che in ufficio acquistiamo di tutto su youbuy, dai CD/DVD alle chiavette USB, alle cuffie e lettori MP3. Tutto sempre perfetto.",39,25-54,M
"Ho acquistato 3 schede R4i SDHC per la console Nintendo 3DS. Dopo aver effettuato l'ordine ho mandato una mail chiedendo la cortesia che spedissero il tutto la settimana successiva perchè ero fuori per lavoro, e così è stato. Non solo. Nelle MicroSD era già stato installato il kernel, evitando che si potesse sbagliare (cosa apprezzatissima, e se non vado errato questo è un servizio a pagamento, ma ovviamente non mi è stato addebitato nulla). Quindi, in una sola parola, OTTIMO.",39,25-54,M
"Serio sito di e-commerce. Quando il mio ordine non è arrivato ho contatto immediatamente il supporto tecnico e in 24 ore mi hanno risarcito di tutti i soldi che avevo speso. Successivamente ho riordinato, cambiando corriere ed è arrivato il giorno dopo! Ottimi",21,15-24,M
pointshpo è proprio un brl sito dove si possono prendere molti prremi,16,15-24,M
un sito ben fatto e curato nei minimi dettagli,16,15-24,M
Un ottimo negozio dove puoi trovare di tutto proprio ottimo,17,15-24,M
Ho ordinato due fotocamere digitali per un mio cliente e dopo aver cercato e ricercato chi mi offrisse un prezzo migliore ecco storeprice.ue. I tempi di evasione sono stati discreti e la spedizione rapida. Qualche piccolo problema con il corriere ma loro non centrano assolutamente nulla. Il mio futuro negozio online è orgoglioso di avere Storeprice come punto di riferimento.,24,15-24,M
"secondo acquisto in un mese ed ho risparmiato molto rispetto a quanto avrei speso con qualsiasi altro rivenditore o peggio negozio. I tempi sono abbastanza coerenti, forse un pacco non ci mette 24h ad arrivare ma sicuramente quei due giorni in più d'attesa valgono il risparmio sul prezzo.",25,25-54,M
"La spedizione é stata vergognosa. 4 articoli rotti (2 contenitori, polvere bucata, bilancia di precisione rotta). Contattato,assistenza clienti che mi ha garantito risarcimento, dopo 3 mesi nulla nonostante  diversi solleciti. Non rispondono più a nessuna mail e non hanno numero da contattare. In più onestamente i prodotti non sono di alta qualità. Evitate e statene alla larga.",38,25-54,M
Non ho ancora avuto modo di testare la componente ma l'oggetto in questione è arrivato rapidamente e con precisione. L'imballaggio era assolutamente ECCEZIONALE,18,15-24,M
"Velocissimi precisi e puntuali, e anche un'ottimo sconto..... Numeri 1...................",43,25-54,M
"Ottima Azienda,seria e affiabile, garantisce ottimi tempi di spedizione, servizio clienti eccellente, consiglio vivamente questa azienda.",32,25-54,M
"Due mesi fa ho adocchiato una prs custom 24 25th anniversary charcoal burst, e steven mi ha prontamente mandato foto del prodotto reale in maniera dettagliata. Pochi giorni fa ho eseguito pagamento su paypal e dopo 48/72 ore la chitarra é stata spedita con ups, arrivata a casa ho notato il pacco era un po' aperto (controlli spedizioniere?), su una chitarra da 2700 euro il brivido ti viene. + buona scelta prodotti + buoni prezzi + personale cortese e disponibile - mi aspettavo una spedizione organizzata più celermente - pacchi imballati ""un po' troppo leggeri""( ma forse in Inghilterra non lavorano male come noi i corrieri) Comunque consiglio l acquisto da loro..sicuramente. Grazie",30,25-54,M
"Non ho mai scritto recensioni dopo i vari acquisti online ma in questo caso mi sento di dover fare un'eccezione. Ho comprato da loro una configurazione personalizzata pc desktop. Non solo mi hanno controllato gratuitamente e senza impegno preso la compatibilità tra i componenti ma la comunicazione con il tecnico addetto all'assistenza è stato sempre rapido e puntuale. Una volta fatto l'ordine (tramite bonifico), avendo letto le recensioni degli altri utenti, pensavo di dover aspettare minimo 2 settimane avendo anche richiesto che mi effettuassero l'aggiornamento del bios della scheda madre e invece la merce mi è arrivata così rapidamente che non ho fatto neanche in tempo ad usufruire del tracking offerto dal corriere. A seguito di un mio dubbio personale dopo l'assemblaggio mi hanno comunque risposto seriamente e puntualmente.Prezzi ottimi, imballaggio perfetto e il computer va una meraviglia. Veramente un'esperienza positiva.",29,25-54,M
"mi sono trovato benissimo sia come prezzi, molto convenienti, sia per la disponibilità e per la velocità di spedizione. Consiglio a chiunque di acquistare da questo negozio on line.",26,25-54,M
Ho comprato un PC Game e dopo neanche 2 minuti ho ricevuto il codice. OTTIMO DAVVERO!!!! I bought a PC Game and after 2 minutes I received the key code.. Really Great!!! I suggest it!,37,25-54,M
I've bought 2 game cd keys at 11.30 AM of this morning and at 11:38 AM I received them. They work perfectly!! Great! Ho comprato 2 chiavi di attivazione per 2 giochi alle 11.30 di stamattina e alle 11.38 le ho ricevute. Funzionano perfettamente!! Grandi!,36,25-54,M
"I bought a pc game code from this shop at 9.00 PM on last Friday and after a couple of hours I received the keys about the activation's game. Quickly, honest and very, very cheap. G-Holds, see you next purchase, sure!!!! Ho comprato un'attivatione di un gioco per computer alle 9 di sera dello scorso Venerdì e dopo un paio di ore circa ho ricevuto le chiavi di attivazione di quest'ultimo. Veloce, onesto e soprattutto economico. G-Holds, ci vediamo al prossimo acquisto, sicuro!!!",36,25-54,M
Ottima qualità e tempi di consegna assolutamente rispettati.,33,25-54,M
Ottimo e veloce!!,50,25-54,M
Il sito è ben strutturato e permette una facile ricerca del volo più adatto alle nostre esigenze al prezzo migliore.,48,25-54,M
"Tutto perfetto, tranne il fatto che nel preventivo online, nonostante aver selezionato l'opzione del seconde guidatore, nell'importo totale da pagare non era conteggiato. Quindi al momento del ritiro, convinti di aver pagato tutto, abbiamo dovuto pagare le circa 70€ per aggiungere la seconda patente. Quindi è stato fuorviante per fare paragoni con altre compagnie, anche se risultava comunque la più conveniente a parità di condizioni.",31,25-54,M
sono soddisfatto dell'acquisto come sempre. grazie,54,25-54,M
Prodotto come da descrizione...tempi di consegna rispettati al secondo...da PROVARE!,27,25-54,M
Da anni acquisto e sono sempre stato soddisfatto.,48,25-54,M
Azienda seria e professionale,21,15-24,M
"Venerdì fatto il bonifico, mercoledì alle 14.30 era arrivato il prodotto. Anche due amici avevano vissuto la stessa rapidità ed efficienza. ottima scelta..super promosso e consigliato. Enricus",36,25-54,M
"Sono stato contattato subito dopo l'acquisto, per una mio errore, e una volta chiarito il disguido ho ricevuto i miei articoli in 24 ore. Imballo molto curato e prodotti come da descrizione. Mi sento di consigliarlo.",39,25-54,M
