text,age,age_cat,gender
prima snelle service iedereen aan te raden.,47,25-54,M
Bij Subside vond ik het Sunderland shirt waar ik naar op zoek was. Altijd prettiger om bij een Nederlandse shop te bestellen. Levering binnen drie dagen. Prima dus.,21,15-24,M
Ik had per ongeluk 2 identieke bestellingen geplaatst en ik werd de volgende dag benaderd of dit wel klopte. Volgende dag had ik alles al in huis.,48,25-54,M
Altijd veel en leuke reclame's van vistaprint! Reclame: Voor 5 euro heb je dan 500 visitekaartjes+ een stempel+ een kaarthouder. Aan het einde van het verhaal ben je 25 euro kwijt omdat je nog wel 12 euro verzendkosten moet betalen? En hier nog een paar euro omdat je zelf een foto upload en daar nog wat omdat je wel tekst op je stempel wilt enz... Verder heb je voor die 12 euro verzendkosten dan ook nog eens een levertijd van circa 21 dagen.. Anders moet je voor expres bestelling gaan dat kost nog meer! Groetjes,20,15-24,M
Over het algemeen veel ervaring en hulp! Snelle afhandeling van bestellingen en altijd netjes gecommuniceerd! Ook in de winkel zelf word er altijd de tijd voor je genomen. Ruime keus in wapens en toebehoren. Goede winkel! Groetjes,20,15-24,M
"Bestel je Crossman Co2 krijg je gewoon een ander merk. Gelijk een mail gestuurd bij aankomst krijg je te horen dat het allemaal hetzelfde is en maakt niets geen verschil. 2 keer besteld, 2 keer geen Crossman gekregen maar andere merken met het slappe excuus dat het allemaal hetzelfde is. Verder soms gigantisch lange levertijd zonder communicatie. Absoluut klant onvriendelijk bedrijf. Bestel hier niet meer! Groetjes",20,15-24,M
"Zeer goede service, snel eenvoudig bestellen, snelle levering!",20,15-24,M
Ik heb al zo vaak besteld bij cdr winkel en tot nog toe is het nooit fout gegaan ik heb wel eens 1 of 2 keer een product gehad dat niet goed was is zeer goed op gereageerd en perfect opgelost gewoon een goede zaak men staat voor de klanten daar kan iedereen alleen maar tevreden over zijn toch met vriendelijke groet Rob,38,25-54,M
"22 november besteld, en nog steeds niks ontvangen, na deze bestelling waarschijnlijk geen bigdennis mee voor mij. Update het is nu 2 december als het goed is krijg ik vandaag mijn spullen in huis. Er is woensdag eindelijk een mailtje gestuurd van luister klant we hebben niet alles op voorraad. Als ze dat eerder hadden gedaan was er  niks aan de hand geweest.",38,25-54,M
"Bax-shop.nl Heeft altijd de producten die ik zoek. De beste prijzen en natuurlijk die ""asociaal"" snelle levering!!! Naast de beste webshop voor DJ's, Producers en andere muziekanten. Is dit denk ik over het algemeen ook de beste webshop!!!",27,25-54,M
"Heb op zondag leren inlegzolen besteld en die zijn maandag opgestuurd en had ze woensdag in huis, dat was netjes binnen de voorgestelde termijn van 3-5 dagen. Dat het niet de volgende dag na verzending in huis was, is omdat de zending uit Denemarken kwam via UPS. Dit was via de UPS site netjes te volgen, al werd dat niet constant bijgewerkt, maar de voorgestelde leverdatum en moment (einde dag) klopte wel. De zolen bevallen tot dusver beter dan de vrij harde standaard zolen uit de Ecco Bradley schoenen.",41,25-54,M
Is voor de derde keer dat ik er iets bestelde (eerste twee keer toen het nog DDVD.info was) en ook deze keer weer netjes op tijd geleverd. Netjes verpakt met veel vulmateriaal (schuimpjes).,39,25-54,M
Snel en eenvoudig bestellen via de website en twee dagen later keurig mijn nieuwe schoenen in huis. Met een leuke gratis blin bling tas voor mijn kleine nichtje erbij. En dat zonder vreselijk irritante TV reclames (lees Zalando...),37,25-54,M
"Is een fake bedrijf dat imitatie accu`s levert via Singapore. Deze persoon heeft een aantal webshops gekopieerd en probeert op die manier mensen op te lichten. Tip: mocht je een aankoop hebben gedaan, weiger het pakket en de douanekosten. Klaag vervolgens  meteen bij Paypal. Ik heb mijn geld terug gekregen via Paypal.",36,25-54,M
