text,age,age_cat,gender
"Sehr Schneller Versand leider brauchte DHL relativ lange, Aber bin sehr zufrieden mit der Ware gerne wieder (auch wenn ich hoffe das ich erstmal keine ersatzteile für mein Notebook brauche aber wenn dann wieder bei Ipc-computer)",25,25-54,M
Zahlt schnell aus und einen tollen und schneller Briefwechsel,47,25-54,M
"Von Herr Kluschke  haben wir eine sehr gute, freundliche, persönliche und kompetente Beratung erhalten. Es wurde sich Zeit für Fragen genommen und alle Fragen wurden gerne geklärt und beantwortet.Wir sind rundum zufrieden. Wir können den Service Hypo absolut weiterempfehlen! Nochmals vielen Dank!",45,25-54,M
Einfache Bestellung per Internet. Superschnelle Lieferung mit telefonischer Termienabsprache. Toller Preis.Dieser Shop ist zu empfehlen.)),41,25-54,M
"Preis/Leistung Stimmt ,es gibt auch noch andere als Alternate ;)",43,25-54,M
"Pünktliche Lieferung und ein unschlagbarer Preis. Kann ich nur empfehlen, würde NOXX immer wieder nehmen.",31,25-54,M
"Bei der Bestellung wurde die Lieferfrist mit 6-7 Werktagen angegeben. Nach der Bestellung wurde mir lapidar mitgeteilt, dass der Artikel noch vom Hersteller geliefert werden müsse. Erst nach nochmaliger Anfrage teilte man mir eine Lieferfrist von 7-10 Werktagen mit, die jedoch auch nicht eingehalten wurde. Erst nach 15 Werktagen erhielt ich endlich die Ware. Andere Werkzeughändler liefern innerhalb von 2 Tagen, ich werde nie wieder in diesem Shop bestellen.",30,25-54,M
Ich kann nur loben. Tolle Ware und superschnelle Lieferung. Und der Preis: klasse! Hier werde ich öfter mal reinschauen :D,53,25-54,M
"Ich benutze Toolani um Mobil an Telefonkonferenzen im Ausland teilzunehmen. Normalerweise müsste ich dafür 1,19 € bei meinem Mobilfunkanbieter bezahlen. Mit Toolani bleibe ich bei bei 2% der Kosten und habe trotzdem gute Sprachqualität.",28,25-54,M
die wahre ist so wie es beschiben worden ist ihr seit weiter zu entfehlen.,45,25-54,M
"Die Leiferzeit war einfach unschlagbar, Es hat nach Geldeingang nicht mal volle 2 Tage gedauert und ich hatte meien bestellte Waren schon zu Hause. Perfekt. Alles TOP ! Bestelle gerne wieder !",28,25-54,M
"Ich bin mit dem Games Server sowie dem später gekauften Root sehr zufrieden gewesen. Preis und Leistung waren auch super. Ich gebe 4 Sterne da anfangs der Support sehr schwer zu erreichen war, jedoch bei jedem Kontakt immer sehr freundlich und hilfsbereit. Das Problem der Erreichbarkeit hat sich mittlerweile deutlich gebessert. Ich kann HU guten Gewissens empfehlen :)",29,25-54,F
"Erstens wurde die Ware super schnell geliefert und auch super verpackt. Die kabel die ich bestellt hatte sind super flexibel kann ich jedem nur empfehlen. Leider keine Sendungsnummer erhalten, aber dies war auch kein Problem nach einem Telefonat mit der Super freundlichen Verkäuferin hat sie mir die Nummer direkt per Telefon durchgegeben einfach top Service. Im großen uns ganzen bin ich super zufrieden mit ars24.com werde euch auf jeden falls weiterempfehlen !!",18,15-24,M
"Einfach eine tolle Möglichkeit günstig an Dinge heranzukommen, die einfach in den Läden völlig überteuert verkauft werden.",35,25-54,M
"Hier bestelle ich gerne Bücher, da es problemlos auch schon verpackt an meine Freunde verschickt werden kann, das ist einfach super.",35,25-54,M
"Als Suchmaschine ganz gut, aber der ganze Social Media Kram ist überflüssig, weil er einfach nicht so gut ist wie Alternativen und dementsprechend nicht genutzt wird.",35,25-54,M
"Die Ausschüttungen der Zahlungseingänge werden verzögert und auch auf mehrmalige Drohungen mit dem Anwalt habe ich noch immer nicht das Geld, das mir zusteht. Schon ironisch, dass ich dem Inkasso-Unternehmen jetzt drohen muss...",35,25-54,M
"Der Umgang mit den Daten der User ist ein Witz insofern als dass Facebook macht, was es will. Da wird einfach gesammelt und gespeichert was das Zeug hält und scheinbar kann kein Land der Welt die Macher von FB davon überzeugen, endlich kundenfreundlicher zu arbeiten!",35,25-54,M
