text,age,age_cat,gender
Not the best overall service.,42,25-54,M
"Since it is the #1 social network however with all their take it or leave it makeovers and the serious lack of privacy, their needs to better privacy settings, and the possible hacking by anonymous it does raise concerns how your life is being displayed for all to see.",42,25-54,M
"Not only that you can find anything, but its resources and apps are awesome.",42,25-54,M
"I'm always satisfied with their level of service and their competitive nature, they will truly provide a 5% discount on any product if you find it elsewhere at a lower price- trust me I've done this!!",42,25-54,M
"On time, nice chap and worked like a pro - Very happy with the service.",32,25-54,M
I needed a new engine for my astra twinport engine they had 4 to choose from when no-one else had one. I learnt a little too. Will spread the word - THANKS.,32,25-54,M
We have many online businesses and refuse to allow any review site to take control of our reputation - if they choose too. You are maybe asking for trouble if you sign up *** UPDATED (after 3 months of usage) ... I've changed our original rating from 1 star to 3 stars.. We've not yet had a negative review and was expecting one or two from known competitors who do this sort of thing. If we do receive a fake negative review I am confident now that we can report the review as fake and have it removed without too much aggravation.,32,25-54,M
"I would say its the most reasonable protein around especially the 5kg bag and its good quality - try it, there's lots of flavours to chhose from...",30,25-54,M
"I make a habit of searching the internet for the best prices.  Once in a great while I will find something a little cheaper with another company, and SupplementWarehouse matches it minus 5%. Most of the time when you look at the price and then add shipping supplementWarehouse is the lowest! Thanks for your service! Steve",54,25-54,M
very good indeed,28,25-54,M
Professional and easy to work with. Good follow up.,41,25-54,M
Very good service and the flowers were very impressive.,28,25-54,M
"Delivery always on time, best price in the market and have been using them for over 4 years now. Highly recommend it!",26,25-54,M
"Though there were some miscommunications with the sales associate, the technician Joey Militello was great and very accommodating.  He was efficient and very helpful.  I appreciate his honesty and work ethic.  We moved forward with the contract because of him and a sales manager Dave.",53,25-54,M
"first time I purchase on smartbuyglasses.ca, I received my order pretty quickly (5 days), and I could track my parcel at all times. I'll use that site again!",33,25-54,M
"they are great, use them all the time. Shipping is very expensive.  They can do better!!!",34,25-54,M
"Excellent service as usual, fast delivery even with the huge demand for ME3 in launch day.",33,25-54,M
They always have the cheapest supplements and that's why I shop online. They are so much cheaper then GNC and they also have a great variety of supplements that most health and wellness stores around Erie Pa don't have.,36,25-54,M
"I like how I can re-order quickly and easily and I know i""m getting the best possible price in the market.",46,25-54,M
"I travel somewhat often and when i do i always check priceline first and then I'll compare other sites to priceline and find that priceline always has the best deals and prices! I speak for myself but, I would never back anything or service I wouldn't tell a family member or friend to use.",37,25-54,M
"Just bought FIFA 12, got it only for 23AUD meanwhile Origin sells it for 83AUD. Really great experience. Even though I got a problem from Moneybookers and Paypal, the Customer Service in Facebook will always assist you. I think this is the only place where I will buy my games for my entire life.",21,15-24,M
Supplement Warehouse is the only place I buy supplements anymore!,24,15-24,M
"So, I stumbled on the site. I payed for my SW:TOR with paypal and was flagged with the first time buyer, anti fraud thing.  I thought it was weird, so I scanned my passport (with everything but my name and photo blanked out) and my credit card statement (with everything but my address blanked out.  I ordered the game at like midnight, and send in the follow up email before 1am.  I had the game by 10am.  I think thats pretty awesome turnaround time :)",31,25-54,M
"Amazing game, and Video Game Box delivered bang on time for release, great guys! Best price on net too! Will shop again.",35,25-54,M
"Instant code, best price, great! thanks",34,25-54,M
Proven products; Easy to use web site; and the price match is un-heard of. I'll be back!,49,25-54,M
I got a phone from here as a gift from my girlfriend but I preferred another color so I called the company up to do an exchange and was pleased at how smoothly things went.  I will definitely consider them for any future cell phone-related purchases I make!,31,25-54,M
"Supplement Warehouse is the best in the supplement business, I used to get my supplements here locally from GNC, Complete Nutrition and even Vitamin World until I found Supplement Warehouse.  The prices and the supplement choices were unbelievable!!  The prices beat all the local competition by a land slide!! That's including shipping!!  I'm never going back to GNC or any of them again. I tell all my workout buddies about Supplement Warehouse to get their supplements.  I'm very happy with the prices, choices, shipping, and the deals!! I'm a life long member!!",30,25-54,M
great deal on the buy box.,43,25-54,M
"I found my creatine  powder on Imedmart .. cheapest price I could find on the net. good shipping pricing and fast shipping , will reorder from them",42,25-54,M
"Good company, each key i get i have never had a problem with, they always work, the key or keys you order are cheap as chips. its brilliant. cannot recommend them enough.. as usual each time i buy a game it works flawlessly Zion",39,25-54,M
Easy to book tours when you are planning to go travelling. User friendly website.,38,25-54,M
"Thank you Priceline, you have saved me not only a lot of money, but thanks to your EXCELLENT customer service, you helped fix a major error on my part thus saving my surprise trip to propose to my girlfriend! She said yes, the trip was wonderful!!! Another Priceline booked trip later and we are now a happily married couple!",30,25-54,M
